query,language,market,search_location,device,collected_at,account_context,result_position,result_url,result_type,dominant_intent,serp_features,limitations
"стоматологія Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://medstarkr.com/,"first_party_clinic__owner=Medstar",generic_local_clinic,"Broad clinic homepage; local NAP; service cards; appointment CTA","Dated public sample; observed order not recorded; location personalization and account context unknown; not a stable rank"
"стоматолог Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://doc.ua/ua/doctors/krivoj-rog/all/stomatolog,"third_party_directory__weak_evidence__owner=Doc.ua",doctor_and_local_clinic,"Doctor filters profiles prices/reviews and booking controls","Weak directory evidence; profile facts unverified; observed order not recorded; not a stable rank"
"імплантація зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://familydentalcenter.com.ua/uk/poslugy/implantaciya,"first_party_clinic__owner=Family Dental Center",local_commercial_implantation,"Dedicated local service H1; FAQ; expert; CTA; internal service links","Dated public sample; competitor claims not validated or copied; observed order not recorded; not a stable rank"
"імплантація зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://villadent.com.ua/ua/implantaciya,"first_party_clinic__owner=Villa Dent",local_commercial_implantation,"Dedicated local service H1; stages; price context; CTA/form; internal links","Dated public sample; competitor claims/prices not Bella facts; observed order not recorded; not a stable rank"
"імплантація зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://barb.ua/krivoy-rog/med/stomatologiya/hirurgiya-implantologiya/implantatsiya-zubiv,"third_party_directory__weak_evidence__owner=Barb.ua",service_price_comparison,"Provider cards; price context; booking controls","Weak directory evidence only; metrics and provider facts unverified; observed order not recorded; not a stable rank"
"брекети Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://barb.ua/uk/krivoy-rog/med/stomatologiya/ortodontiya/brekety,"third_party_directory__weak_evidence__owner=Barb.ua",braces_price_comparison,"Provider cards; price context; filters and booking","Weak supporting evidence only; no URL mapped; observed order not recorded; not a stable rank"
"дитячий стоматолог Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://familydentalcenter.com.ua/uk/poslugy/dytyacha-stomatologiya,"first_party_clinic__owner=Family Dental Center",pediatric_local_service,"Dedicated local service page; appointment CTA; team and internal service links","Supporting pattern only; Bella lacks matching price-category evidence; observed order not recorded; not a stable rank"
"видалення зуба Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://villadent.com.ua/ua/vidalennya,"first_party_clinic__owner=Villa Dent",local_extraction_service,"Dedicated local service page; price context; appointment CTA","Supporting pattern only; no URL mapped; competitor claims not validated; not a stable rank"
"протезування зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://villadent.com.ua/ua/protezuvannya,"first_party_clinic__owner=Villa Dent",local_prosthetics_service,"Dedicated local service page; option sections; price/CTA context","Supporting pattern only; no URL mapped; competitor claims not validated; not a stable rank"
"имплантация зубов Кривой Рог",ru,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://villadent.com.ua/ru/implantaciya,"first_party_clinic__owner=Villa Dent",cross_language_local_implantation,"Russian first-party service page; stages; price context; CTA","Market observation only; ru_intent_observed__no_ru_architecture_approved; observed order not recorded; not a stable rank"
"имплантация зубов Кривой Рог",ru,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://likarni.com/kliniki/krivoj-rog/implantologija,"third_party_directory__weak_evidence__owner=Likarni.com",cross_language_clinic_comparison,"Clinic aggregation; local area; review/price/booking context","Weak directory evidence only; no Russian Bella URL; observed order not recorded; not a stable rank"
"протезирование зубов Кривой Рог",ru,"Kryvyi Rih, Ukraine",unknown,unknown,2026-08-18T06:23:55Z,unknown,,https://villadent.com.ua/ru/protezirovanie,"first_party_clinic__owner=Villa Dent",cross_language_local_prosthetics,"Russian first-party service page with local signal and decision-support sections","Market observation only; no Russian Bella architecture; observed order not recorded; not a stable rank"
