competitor,type,market,language,evidence_url,collected_at,observed_strength,relevant_pages,limitations
Family Dental Center,first_party_clinic,"Kryvyi Rih, Ukraine",uk,https://familydentalcenter.com.ua/uk/poslugy/implantaciya,2026-08-18T06:23:55Z,"Local implantation title/H1; dedicated commercial service page; owner-local NAP","Overview; indications/limitations; FAQ; price discussion; named expert; CTA/form; service/price/contact links; proof and claims observed but not adopted","Read-only structural observation; competitor claims and medical statements were not validated or copied; no stable-rank inference"
Villa Dent,first_party_clinic,"Kryvyi Rih, Ukraine",uk,https://villadent.com.ua/ua/implantaciya,2026-08-18T06:23:55Z,"Local implantation title/H1; dedicated commercial service page; visible Kryvyi Rih contact context","Overview; stages/process; care; video; price table; consultation caveat; CTA/form; team/contact/service links; no clear named author in sampled page","Read-only structural observation; clinical copy and prices are competitor-owned and not Bella evidence; no stable-rank inference"
Family Dental Center,first_party_clinic,"Kryvyi Rih, Ukraine",uk,https://familydentalcenter.com.ua/uk/poslugy/dytyacha-stomatologiya,2026-08-18T06:23:55Z,"Local pediatric-service title/H1; dedicated service pattern","Overview; indications; expert/team references; appointment CTA; service/price/contact links","Supporting page-pattern evidence only; pediatric dentistry lacks Bella price-category support and is not page-ready; no copied text"
Dental KR,first_party_clinic,"Kryvyi Rih, Ukraine",uk,https://www.dental.kr.ua/dytyacha-stomatologiya/,2026-08-18T06:23:55Z,"Dedicated pediatric-service H1; local NAP and appointment control","Overview; fear/adaptation theme; visible address/phone; CTA; internal service navigation","Supporting page-pattern evidence only; no Bella fact inference; no copied text or stable-rank claim"
MaxxDental,first_party_clinic,"Kryvyi Rih, Ukraine",unknown,https://maxxdental.com.ua/breketi,2026-08-18T06:23:55Z,"Unavailable at direct collection time","No page structure recorded because the direct URL returned an internal retrieval error","Unavailable at collection time; content was not reconstructed from memory; search-result snippet was not used as page evidence"
Family Dental Center,first_party_clinic,"Kryvyi Rih, Ukraine",uk,https://familydentalcenter.com.ua/uk/poslugy/protezuvannya,2026-08-18T06:23:55Z,"Local prosthetics title/H1; dedicated commercial service pattern","Overview; types/options; assessment/process; FAQ/decision support; consultation CTA; service/price/contact links","Supporting page-pattern evidence only; competitor clinical statements were not validated or copied"
Villa Dent,first_party_clinic,"Kryvyi Rih, Ukraine",uk,https://villadent.com.ua/ua/protezuvannya,2026-08-18T06:23:55Z,"Local prosthetics title/H1; dedicated commercial service pattern","Overview; types/options; price context; CTA/form; service/team/contact links; images/proof elements observed","Supporting page-pattern evidence only; competitor clinical statements and prices are not Bella facts"
Medstar,first_party_clinic,"Kryvyi Rih, Ukraine",uk,https://medstarkr.com/,2026-08-18T06:23:55Z,"Broad local clinic homepage with service group cards and strong local NAP","Service summaries including surgery/implantation; team and social proof claims; online appointment CTA; internal navigation","Broad clinic-page pattern only; public claims and metrics were not validated or transferred to Bella"
Barb.ua,third_party_directory__weak_evidence,"Kryvyi Rih, Ukraine",ru,https://barb.ua/krivoy-rog/med/stomatologiya/hirurgiya-implantologiya/implantatsiya-zubiv,2026-08-18T06:23:55Z,"Directory aggregation shows local implantation service and price-comparison intent mixing","Multiple providers; filters/listing cards; price context; booking controls","Weak third-party evidence only; directory facts and metrics are not Bella business facts; no stable-rank inference"
Doc.ua,third_party_directory__weak_evidence,"Kryvyi Rih, Ukraine",uk,https://doc.ua/ua/doctors/krivoj-rog/all/stomatolog,2026-08-18T06:23:55Z,"Directory aggregation shows generic local dentist/doctor intent mixing","Doctor filters; clinic cards; reviews/price/profile context; booking controls","Weak third-party evidence only; profiles and metrics were not independently verified; no stable-rank inference"
