query,language,market,intent,journey_stage,provider,metric_name,metric_value,match_type,database_date,collected_at,device,limitations
"стоматологія Кривий Ріг",uk,"Kryvyi Rih, Ukraine","generic local clinic",evaluate,"public search sample; https://medstarkr.com/",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; first-party clinics and directories mixed; target=/; search location personalization and account context unknown; no stable rank or numeric demand metric"
"стоматологічна клініка Кривий Ріг",uk,"Kryvyi Rih, Ukraine","generic local clinic",evaluate,"public search sample; https://medstarkr.com/",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; local clinic pages observed; target=/; search location personalization and account context unknown; no stable rank or numeric demand metric"
"стоматолог Кривий Ріг",uk,"Kryvyi Rih, Ukraine","doctor and local clinic",evaluate,"public search sample; https://doc.ua/ua/doctors/krivoj-rog/all/stomatolog",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; directory/doctor profiles mixed with clinics; target=/; search location personalization and account context unknown; no stable rank or numeric demand metric"
"лікування зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine","service treatment and local clinic",evaluate,"public search sample; https://villadent.com.ua/ua/likuvannya-zubiv",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; distinct first-party treatment page observed; unmapped/deferred; no stable rank or numeric demand metric"
"імплантація зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine","implantation service and local clinic",evaluate,"public search sample; https://familydentalcenter.com.ua/uk/poslugy/implantaciya",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; dedicated first-party local service pages observed; prospective target=/implantatsiia-zubiv.html; no stable rank or numeric demand metric"
"ортодонт Кривий Ріг",uk,"Kryvyi Rih, Ukraine","doctor/expert and local service",evaluate,"public search sample; https://doc.ua/ua/doctors/krivoj-rog/all/ortodont",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; directory doctor profiles observed; unmapped/deferred; no stable rank or numeric demand metric"
"брекети Кривий Ріг",uk,"Kryvyi Rih, Ukraine","braces service and price evaluation",evaluate,"public search sample; https://barb.ua/uk/krivoy-rog/med/stomatologiya/ortodontiya/brekety",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; first-party/directory service results observed; unmapped/deferred; no stable rank or numeric demand metric"
"дитячий стоматолог Кривий Ріг",uk,"Kryvyi Rih, Ukraine","pediatric doctor/service and local clinic",evaluate,"public search sample; https://familydentalcenter.com.ua/uk/poslugy/dytyacha-stomatologiya",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; dedicated first-party pages observed but Bella price-category support absent; unmapped/not page-ready; no numeric metric"
"професійна чистка зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine","professional cleaning service",evaluate,"public search sample; https://doc.ua/ua/uslugi/krivoj-rog/all/stomatologia/professionalnaya-chistka-zubov",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; directory/service mixing observed; unmapped/deferred; no stable rank or numeric demand metric"
"видалення зуба Кривий Ріг",uk,"Kryvyi Rih, Ukraine","tooth extraction service",evaluate,"public search sample; https://villadent.com.ua/ua/vidalennya",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; dedicated first-party service result observed; unmapped/deferred; no stable rank or numeric demand metric"
"протезування зубів Кривий Ріг",uk,"Kryvyi Rih, Ukraine","prosthetics service and local clinic",evaluate,"public search sample; https://villadent.com.ua/ua/protezuvannya",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative only; dedicated first-party and directory results observed; unmapped/deferred; no stable rank or numeric demand metric"
