entity,field,approved_value,website_value,profile_or_source,external_value,checked_at,match,owner,next_action
bella,business_name,Bella Dent Clinic,Bella Dent Clinic,owner_provided_google_maps_link,Стоматологічна клініка «Белла Дент»,2026-08-18,true,client,"Resolved/current on website and homepage Dentist JSON-LD; do not infer a former-name relationship"
bella,legacy_name_observation,"Bella Dent Clinic; Nika Dent relationship unresolved",Bella Dent Clinic plus 16 legacy Клініка Ніка Дент alt values,production_site_and_directories,"Nika/Nika Dent references observed historically",2026-08-18,partial,client,"Keep unresolved; obtain an explicit former/legal/historical-name decision before cleanup"
bella,official_and_legacy_street,"current: вулиця Федора Караманиць; legacy: вулиця Ватутіна",вул. Федора Караманиць,kryvyi_rih_city_council_rename_2022,"Maps/directories may show вулиця Ватутіна",2026-08-18,true,client,"Website resolved by PR #11; retain legacy alias and reconcile external profiles only under separate authorization"
bella,full_address,"Україна, Дніпропетровська область, 50000, м. Кривий Ріг, Покровський район, вул. Федора Караманиць, 43/3А","м. Кривий Ріг, Покровський район, зуп. Військового Тилу, вул. Федора Караманиць, 43/3А, 50000",owner_provided_google_maps_link,"вулиця Ватутіна, 43/3А may remain in external profiles",2026-08-18,true,client,"Website and Dentist JSON-LD resolved; preserve legacy alias and keep third-party parity open"
bella,coordinates_and_map_location,48.01832;33.4757793,"48.01832;33.4757793 in Dentist JSON-LD; aligned embedded map",owner_provided_google_maps_link,48.01832;33.4757793,2026-08-18,true,client,"Resolved/current; no profile action in this PR"
bella,phone,+380964303719,"096 430 37 19; tel:+380964303719; Dentist JSON-LD +380964303719",direct_client_confirmation_2026-08-16,+380964303719,2026-08-18,true,client,"Resolved/current on visible and machine-readable surfaces"
bella,email,klinikanika@gmail.com,"klinikanika@gmail.com; actionable mailto; Dentist JSON-LD parity",direct_client_confirmation_2026-08-16,Legacy-branded mailbox name observed,2026-08-18,true,client,"Resolved/current; do not infer entity history from mailbox name"
bella,hours,"Пн–Пт 09:00–18:00; Сб 09:00–14:00; Нд 09:00–16:00","Visible hours and Dentist JSON-LD match approved schedule",third_party_directories,Conflicting directory hours may remain,2026-08-18,true,client,"Resolved/current on website; external parity requires separate authorization"
bella,category,Стоматологічна клініка,"центр сучасної стоматології; Dentist entity type",owner_provided_google_maps_link,Стоматологічна клініка,2026-08-18,true,client,"Resolved/current base entity category; do not infer medical specialty claims"
bella,instagram,https://www.instagram.com/bella.dent.clinic,"Website link and sole Dentist JSON-LD sameAs value",production_site,Client confirms current official URL,2026-08-18,true,client,"Resolved/current by PR #11"
bella,facebook,https://www.facebook.com/share/1JF7VKAp6X/?mibextid=wwXIfr,"Current website link with accessible label; excluded from Dentist sameAs",production_site,Canonical official profile URL not independently verified,2026-08-18,partial,client,"Keep unresolved as canonical profile; current website link only"
bella,telegram,No approved profile URL,"No Telegram URL in source; visible control has no verified destination",github_main_source_2026-08-18,No independently verified profile URL,2026-08-18,pending,client,"Keep unresolved; do not invent a URL"
bella,logo,images/bella-dent-mark.png.png,"Website logo favicon OG and Twitter image",github_main_source_2026-08-18,"Client-approved for website/favicon/OG; formal registration evidence absent",2026-08-18,true,client,"Resolved/current allowed usage; do not assert trademark/patent registration"
bella,homepage_schema,"One visible-fact-parity Dentist entity","One Dentist JSON-LD entity live on homepage",production_and_deployment_2026-08-18,"No second entity or service Schema approved",2026-08-18,true,seo_operations,"Retain exact visible parity; prospective service Schema remains unapproved"
