id,area,issue,evidence,recommendation,impact,confidence,effort,risk,dependency,owner,acceptance_test,kpi,status
BL-001,entity,"Entity/Home/Local implementation is deployed","PR #11 merged as 890ed5df7f001f754df5e79eeddcef14d88e5844 and deployment 5946162353 succeeded","Retain the deployed fact and visible-parity contract",P1,high,M,low,none,seo_operations,"Production preserves approved entity facts and the base Dentist JSON-LD visible parity","approved entity facts completeness",closed
BL-002,entity,"Bella is confirmed as the current official brand but Nika legacy-name references remain unresolved","Direct client confirmation establishes Bella Dent Clinic as current; source and directory history still contains Nika references","Obtain an explicit former/legal/historical-name decision before any Nika cleanup",P1,high,S,high,CLIENT_NAMING_RELATIONSHIP_REQUIRED,client,"One explicit naming decision classifies every Nika relationship without blind replacement","legacy-name conflicts remaining",blocked
BL-003,local,"Website NAP hours map accessibility and official street spelling are deployed; external profile parity remains separate","PR #11 deployed exact visible contacts map title and approved current address; third-party profiles were not changed","Retain the website contract and keep external-profile reconciliation separately authorized",P1,high,M,medium,EXTERNAL_ACTION_AUTHORIZATION_REQUIRED,seo_operations,"Website visible facts and Dentist JSON-LD remain aligned; no external profile mutation occurs","approved contact fields completeness",closed
BL-004,medical,"Doctor review case and medical-claim provenance is incomplete","Professional and consent records remain template-empty after PR 1","Collect provenance and qualified review in a separate governed evidence stage",P1,high,L,high,"PROFESSIONAL_REVIEW_REQUIRED; CLIENT_CONFIRMATION_REQUIRED",client,"No medical or review content is approved without provenance and required review","reviewed high-risk records completeness",blocked
BL-005,technical,"Price hero references a tracked source asset excluded from the public Pages allowlist/artifact","images/фото для прайса.jpg exists in Git and is referenced by price.html; pages-public-manifest.txt omits it, so the deployed public request returns 404","In a separately authorized public-site/asset PR, first confirm asset approval and provenance, then either add the tracked asset to the positive public allowlist with corresponding tests or replace/remove the reference with an approved asset and visual QA",P1,high,S,medium,"ASSET_APPROVAL_REQUIRED; LATER_PR",engineering,"No broken public price-hero request; the approved solution is included in the candidate artifact; artifact isolation tests and browser/network visual QA pass","broken asset references",future
BL-006,performance,"Large and eager image payload remains unoptimized","The verified 56-file artifact is 65503575 bytes and includes large image files","Plan responsive formats dimensions and loading behavior with visual parity tests",P2,high,L,medium,LATER_PR,engineering,"A separately authorized performance PR meets an approved budget without visual regressions","public image bytes",future
BL-007,security,"Sheet-fed doctor values are inserted with innerHTML","Source inspection found dynamic doctor-sheet values reaching innerHTML sinks","Replace untrusted HTML insertion with safe DOM construction while preserving fallback behavior",P1,high,M,high,LATER_PR,engineering,"Adversarial sheet values render as text and existing doctor-card tests pass","unsafe dynamic HTML sinks",future
BL-008,measurement,"No deployed analytics or verified conversion measurement exists","Source inspection found no analytics tag and measurement artifacts remain planning-only","Define privacy-safe events and obtain separate account and implementation authorization",P1,high,M,medium,"EXTERNAL_ACCESS_REQUIRED; LATER_PR",analytics,"Approved event dictionary and production QA distinguish intent from connected outcomes","verified funnel-stage coverage",blocked
BL-009,metadata,"Favicon and social identity metadata are deployed but descriptions and canonical Facebook remain unapproved","PR #11 deployed approved favicon OG and Twitter identity fields without descriptions; canonical Facebook and exact descriptions remain unresolved","Obtain exact copy and canonical social-profile approval before a bounded metadata PR",P2,high,M,medium,"META_DESCRIPTION_APPROVAL_REQUIRED; CANONICAL_FACEBOOK_REQUIRED; LATER_PR",content,"Unique approved descriptions and proven profile inputs pass source and rendered QA","approved metadata coverage",blocked
BL-010,architecture,"Implantation service architecture research is merged","PR #12 merged as 3c55b3213be82b2c064c03e6c991ee7d73beb091 after mapping one Ukrainian prospective page","Retain one mapping at /implantatsiia-zubiv.html with public implementation blocked",P1,high,M,low,none,seo,"Exactly one collision-free prospective mapping exists and remains blocked from public implementation","governed priority service mappings",closed
BL-011,content,"Implantation copy draft is prepared but not approved for publication","Client/owner-side confirmation dated 2026-08-18 covers the exact current publication; live Sheet has 29 rows and current role is extracted; clinical sections remain undrafted","Obtain a named qualified medical reviewer and source evidence for every clinical section in a later .seo medical-review PR",P1,high,L,high,"QUALIFIED_MEDICAL_REVIEW; REVIEW_EVIDENCE; APPROVED_ASSETS; LATER_PUBLIC_PR",client,"Exact draft is reviewed and approved before any public file canonical sitemap Schema or deployment change","reviewed implantation implementation gates",blocked_pending_medical_review
BL-012,code_parity,"Static prices.js fallback has three name-only differences from the live Sheet","29/29 amounts and currencies match; names differ only at rows 2 23 and 24: slash versus comma and decimal point versus comma","In a later narrowly scoped public code PR synchronize only those three fallback names to the live Sheet",P1,high,S,medium,"SEPARATE_EDIT_TEST_COMMIT_PUSH_DRAFT_READY_MERGE_DEPLOY_AUTHORIZATION",engineering,"prices.js names match the live Sheet exactly and all public artifact tests pass without price or currency changes","fallback name parity",future_public_byte_change_not_fixed
